Date Time Latitude Longitude Elevation TimeDelta DistanceDelta Speed Slope ElevationDelta Bearing
2016-07-13 17:07:46 40.3873969428 -4.24677237868 709.0 1.0 3.46793206455 11.9866825757 5.25701798252 0.2 308.180239208
2016-07-13 17:07:47 40.3874158859 -4.24680490047 709.4 1.0 3.46752472414 11.9611928721 5.31592392178 0.4 307.405959549
2016-07-13 17:07:48 40.3874335717 -4.24683641642 709.6 1.0 3.31545987165 11.9464702417 5.4081229663 0.2 306.381042827
2016-07-13 17:07:49 40.3874504194 -4.24686566927 709.6 1.0 3.10610139369 11.9138911662 5.37945049555 0.0 307.094119033
2016-07-13 17:07:50 40.3874670994 -4.24689249136 709.6 1.0 2.93268245192 11.8518564999 5.37961219938 0.0 309.22998371
2016-07-13 17:07:51 40.3874836955 -4.24692098983 709.6 1.0 3.03831717409 11.7930094718 5.53882289403 0.0 307.400229268
2016-07-13 17:07:52 40.3874997888 -4.24695024267 709.6 1.0 3.05624081797 11.7301021474 5.82272457664 0.0 305.839699299
2016-07-13 17:07:53 40.3875164688 -4.24697974697 709.8 1.0 3.11196784438 11.6474957079 5.86790373451 0.2 306.583896468
2016-07-13 17:07:54 40.387532562 -4.24700933509 710.0 1.0 3.07930432094 11.5266425418 5.71695462948 0.2 305.530346084
2016-07-13 17:07:55 40.387549242 -4.24703900702 710.2 1.0 3.12337917854 11.3968465941 5.44852790284 0.2 306.428680493
2016-07-13 17:07:56 40.387565922 -4.24706934951 710.4 1.0 3.16925302787 11.2337709268 5.20832797555 0.2 305.818982762
2016-07-13 17:07:57 40.3875825182 -4.247099692 710.6 1.0 3.1638070834 11.0229597896 5.15304345023 0.2 305.682124639
2016-07-13 17:07:58 40.3875996172 -4.24712986685 710.6 1.0 3.18534504772 10.836528056 5.15006603485 0.0 306.648179662
2016-07-13 17:07:59 40.3876176383 -4.2471587006 710.8 1.0 3.15897550218 10.6736483424 5.10150162433 0.2 309.370812789
2016-07-13 17:08:00 40.3876361623 -4.24718728289 711.0 1.0 3.17849067146 10.5221424045 5.02781808276 0.2 310.393676006
2016-07-13 17:08:01 40.3876549378 -4.24721469171 710.8 1.0 3.1220925135 10.3841683338 4.69390951664 -0.2 311.966644891
2016-07-13 17:08:02 40.3876740485 -4.24724210054 711.0 1.0 3.14714383412 10.26206821 4.58592174549 0.2 312.471314467
2016-07-13 17:08:03 40.3876932431 -4.24727043137 711.2 1.0 3.21136381428 10.1502893261 4.35629276637 0.2 311.653209619
2016-07-13 17:08:04 40.387709504 -4.24729993567 711.2 1.0 3.08441472887 10.065893487 4.23558718205 0.0 305.888846494
2016-07-13 17:08:05 40.3877232503 -4.24732742831 711.6 1.0 2.78535350818 9.99908639416 4.21820959166 0.4 303.282746848
2016-07-13 17:08:06 40.3877343144 -4.24735307693 712.0 1.0 2.49648998226 9.94850930043 4.33019581022 0.4 299.524868456
2016-07-13 17:08:07 40.3877477255 -4.24737813883 712.2 1.0 2.59408140069 9.90863682875 4.27283851423 0.2 305.090013127
2016-07-13 17:08:08 40.3877633158 -4.24740160815 712.4 1.0 2.63748089154 9.89630019148 4.07849637976 0.2 311.092860175
2016-07-13 17:08:09 40.3877763078 -4.24742851406 712.4 1.0 2.69811803355 9.89178858589 4.20655186416 0.0 302.37272378
2016-07-13 17:08:10 40.3877851088 -4.24745734781 712.6 1.0 2.63085053256 9.89213999217 4.12371350521 0.2 291.83785087
2016-07-13 17:08:11 40.3877919819 -4.24748869613 712.6 1.0 2.7628405896 9.91712474761 3.88049160719 0.0 286.058667259
2016-07-13 17:08:12 40.3877996933 -4.24752012827 712.6 1.0 2.79681639163 9.95415342703 3.59331730221 0.0 287.853581599
2016-07-13 17:08:13 40.3878067341 -4.24755097367 712.6 1.0 2.72722605125 10.0058906154 3.42191401829 0.0 286.68255127
2016-07-13 17:08:14 40.3878134396 -4.24758131616 712.8 1.0 2.67582535023 10.0765902091 3.2532463351 0.2 286.179688985
2016-07-13 17:08:15 40.3878185526 -4.24761249684 712.8 1.0 2.70133850765 10.15457835 3.13121474804 0.0 282.149572858
2016-07-13 17:08:16 40.3878240008 -4.24764350988 712.6 1.0 2.69559307479 10.2451048368 2.92994787123 -0.2 282.987790237
